Date,Stage,Match,Team,Ban,Role Ban,Role Pick,Players,Pick,MVP,Time,Spell,Talent 3,K,D,A,Gold,Rating,Medal,Level,Win
2/26/2024,Group Stage,1,RRQ Hoshi,Guinevere,Fighter,Mage,Octa,Novaria,0,22:09,Flicker,Impure Rage,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Win
2/26/2024,Group Stage,1,RRQ Hoshi,Arlott,Fighter/Assassin,Fighter,Brusko,Chou,0,22:09,Flicker,Concussive Blast,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Win
2/26/2024,Group Stage,1,RRQ Hoshi,Mathilda,Support/Assassin,Assassin/Fighter,Banana,Benedetta,0,22:09,Petrify,Quantum Charge,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Win
2/26/2024,Group Stage,1,RRQ Hoshi,Minotaur,Tank/Support,Marksman,Skylar,Claude,1,22:09,Sprint,Quantum Charge,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Win
2/26/2024,Group Stage,1,RRQ Hoshi,Kaja,Support/Fighter,Fighter/Tank,Irrad,Fredrinn,0,22:09,Retribution,Concussive Blast,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Win
2/26/2024,Group Stage,1,Team Lilgun,Martis,Fighter,Fighter,Aizn,Cici,0,22:09,Vengeance,Brave Smite,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Lose
2/26/2024,Group Stage,1,Team Lilgun,Dyrroth,Fighter,Mage,Forbid,Vexana,0,22:09,Flicker,Impure Rage,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Lose
2/26/2024,Group Stage,1,Team Lilgun,Ruby,Fighter/Tank,Tank/Fighter,Zxaura,Barats,0,22:09,Retribution,Brave Smite,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Lose
2/26/2024,Group Stage,1,Team Lilgun,Nolan,Assassin,Support,Ethan,Estes,0,22:09,Flicker,Quantum Charge,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Lose
2/26/2024,Group Stage,1,Team Lilgun,Joy,Assassin,Marksman,Bebex,Karrie,0,22:09,Purify,Brave Smite,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Lose
2/26/2024,Group Stage,2,Team Lilgun,Claude,Marksman,Fighter/Tank,Ethan,Ruby,0,18:24,Flicker,Brave Smite,2,2,10,10088,8.2,Silver,15,Lose
2/26/2024,Group Stage,2,Team Lilgun,Karrie,Marksman,Fighter,Zxaura,Martis,0,18:24,Retribution,Killing Spree,9,3,5,12283,9.9,Golden,15,Lose
2/26/2024,Group Stage,2,Team Lilgun,Novaria,Mage,Fighter,Aizn,Thamuz,0,18:24,Vengeance,Brave Smite,1,3,6,11045,7,Silver,15,Lose
2/26/2024,Group Stage,2,Team Lilgun,Arlott,Fighter/Assassin,Marksman,Bebex,Ixia,0,18:24,Flicker,Quantum Charge,1,4,5,10778,5.6,Bronze,15,Lose
2/26/2024,Group Stage,2,Team Lilgun,Nolan,Assassin,Mage,Forbid,Lylia,0,18:24,Purify,Lethal Ignition,2,2,9,11891,8.3,Golden,15,Lose
2/26/2024,Group Stage,2,RRQ Hoshi,Mathilda,Support/Assassin,Fighter,Banana,Cici,0,18:24,Vengeance,Brave Smite,2,1,6,12451,8.6,Golden,15,Win
2/26/2024,Group Stage,2,RRQ Hoshi,Joy,Assassin,Support/Mage,Octa,Faramis,1,18:24,Flicker,Lethal Ignition,3,2,8,10026,8.7,Golden,15,Win
2/26/2024,Group Stage,2,RRQ Hoshi,Guinevere,Fighter,Marksman,Skylar,Beatrix,0,18:24,Flicker,Quantum Charge,3,4,5,12609,7,Golden,15,Win
2/26/2024,Group Stage,2,RRQ Hoshi,Terizla,Fighter,Assassin,Irrad,Lancelot,0,18:24,Retribution,Quantum Charge,4,2,3,14583,7,Golden,15,Win
2/26/2024,Group Stage,2,RRQ Hoshi,Lapu-Lapu,Fighter,Support/Fighter,Brusko,Kaja,0,18:24,Flicker,Brave Smite,2,6,8,9062,6.4,Silver,15,Win
2/26/2024,Group Stage,1,S2G Esports,Fanny,Assassin,Fighter/Tank,Lunar,Ruby,1,16:32,Flicker,Brave Smite,4,1,11,10573,10.7,Golden,15,Win
2/26/2024,Group Stage,1,S2G Esports,Guinevere,Fighter,Mage,BEGIN,Valentina,0,16:32,Flicker,Quantum Charge,3,4,6,8732,6.2,Silver,14,Win
2/26/2024,Group Stage,1,S2G Esports,Joy,Assassin,Tank/Support,Qaro,Minotaur,0,16:32,Flicker,Brave Smite,1,4,8,7453,6.6,Silver,13,Win
2/26/2024,Group Stage,1,S2G Esports,Tigreal,Tank,Fighter,Kazue,Leomord,0,16:32,Retribution,Quantum Charge,6,2,5,11261,8.7,Golden,15,Win
2/26/2024,Group Stage,1,S2G Esports,Natan,Marksman,Marksman,SIGIBUM,Claude,0,16:32,Purify,Quantum Charge,2,1,5,12350,7.9,Golden,15,Win
2/26/2024,Group Stage,1,Twisted Minds,Cici,Fighter,Mage,Cuffin,Aurora,0,16:32,Flicker,Lethal Ignition,0,2,9,9351,7.4,Golden,15,Lose
2/26/2024,Group Stage,1,Twisted Minds,Diggie,Support,Marksman,Saano,Karrie,0,16:32,Flicker,Brave Smite,5,1,4,12808,9.9,Golden,15,Lose
2/26/2024,Group Stage,1,Twisted Minds,Novaria,Mage,Fighter/Assassin,Maro,Arlott,0,16:32,Flicker,Concussive Blast,3,5,6,7775,6.7,Silver,14,Lose
